fr,de
le rat,die Ratte
la taupe,der Maulwurf
le lapin,das Kaninchen
le cochon d’Inde,das Meerschweinchen
le hamster,der Hamster
la chauve-souris,die Fledermaus
l’écureuil,das Eichhörnchen
le hérisson,der Igel
le luop,der Wolf
le lion,der Löwe
le tigre,der Tiger
le renard,der Fuchs
l’ours polaire,der Eisbär
le porc,das Schwein
la chèvre,die Ziege
l’âne,der Esel
le chevreuil,das Reh
le zèbre,das Zebra
le dauphin,der Delfin
la loutre,der Otter
le kangourou,das Känguru
l’hippopotame,das Nilpferd
le pic,der Specht
la mouette,die Möwe
la corneille,die Krähe
le bec,der Schnabel
le poussin,das Küken
l’aile,der Flügel (Vogel)
la plume,die Feder (Vogel)
la cigogne,der Storch
le flamant,der Flamingo
l’autruche,der Strauß
l’aigle,der Adler
le cygne,der Schwan
l’oie,die Gans
le paon,der Pfau
le coq,der Hahn
la chouette,die Eule
le perroquet,der Papagei
le serpent,die Schlange
la tortue,die Schildkröte
la genouille,der Frosch
l’hippocampe,das Seepferdchen
la chenille,die Raupe
la guêpe,die Wespe
l’abeille,die Biene
la mouche,die Fliege
le moustique,die Stechmücke
la libellule,die Libelle
la toile d’araignée,das Spinnennetz
la coccinelle,der Marienkäfer
ler ver,der Wurm
la fourmi,die Ameise
