fr,de
la rue à sens unique,die Einbahnstraße
l’horodateur,der Parkscheinautomat
la piste cyclable,der Fahrradweg
le rond-point,der Kreisverkehr
la voie (de circulation),der Fahrstreifen
l’échangeur autoroutier,das Autobahnkreuz
la circulation aux heures de pointe,der Berufsverkehr
le virage,die Kurve
la climatisation,die Klimaanlage
les sièges chauffants,die Sitzheizung
la roue,das Rad
le pneu,der Reifen
le coffre,der Kofferraum
le moteur,der Motor
le volant,das Lenkrad
l’horaire,der Fahrplan
l’abri-bus,das Wartehäuschen
la dragonne,die Halteschlaufe
le bus surbaissé,der Niederflurbus
le distributeur de ticket,der Fahrkartenautomat
la selle,der Sattel
le guidon,der Lenker (Fahrrad)
freiner,bremsen
l’antivol,das Fahrradschloss
le vélo de location,das Leihfahrrad
le marchepied,die Trittstufe
le camion-grue,der Fahrzeugkran
la cabine de conduite,der Führerstand
le wagon,der Waggon
l’accoudoir,die Armlehen
l’appuie-tête,die Kopfstütze
la caténaire,die Oberleitung
la table rabattable,der Klapptisch
la motrice,der Triebwagen
monter,einsteigen
descendre,aussteigen
à l’heure,pünktlich
changer,umsteigen
l’espace entre les sièges,der Sitzabstand
le couloir,der Gang (Zug/Flugzeug)
décoller,starten (Flugzueg)
atterrir,landen
le tableau d’affichage,die Anzeigetafel
le trottoir roulant,der Fahrsteig (Flughafen)
le phare,der Leuchtturm
la bouée,die Boje
le ferry-boat,die Fähre
