fr,de
la sonnette d’entrée,die Türklingel
le grenier,der Dachboden
la cave,der Keller
le vestibule,der Flur
le toit,das Dach
la rampe (d’escalier),das Treppengeländer
la marche (d’escalier),die Treppenstufe
la salle de séjour,das Wohnzimmer
le canapé,das Sofa
la moquette,der Teppichboden
la bougie,die Kerze
l’étagère,das Bücherregal
la cuisinière,der Herd
le four,der Backofen
le tiroir,die Schublade
le réfrigérateur,der Kühlschrank
le lave-vaisselle,die Spülmaschine
le micro-ondes,die Mikrowelle
le batteur,der Mixer
le grille-pain,der Toaster
la balance de cuisine,die Küchenwaage
la cafetière électrique,die Kaffeemaschine
le tablier,die Schürze
la plaque de four,das Backblech
le sablier,die Sanduhr
la passoire,"das Küchensieb, das Abtropfsieb"
le fouet,der Schneebesen
la planche à découper,das Schneidebrett
la pelle,der Pfannenwender
la sauteuse,die Bratpfanne
le faitout,der Kochtopf
le décapsuleur,der Flaschenöffner
la chambre à coucher,das Schlafzimmer
le lit à deux places,das Doppelbett
l’oreiller,das Kopfkissen
la couverture,die Bettdecke
la lampe de chevet,die Nachttischlampe
le drap,das Laken
l’armoire,der Kleiderschrank
la poupée,die Puppe
le bureau,"der Schreibtisch, das Arbeitszimmer"
aller aux toilettes,auf die Toilette gehen
les W.-C.,die Toilette
le lavabo,das Waschbecken
le papier hygiénique,das Toilettenpapier
le rasoir,der Rasierer
l’éponge,der Schwamm
le coton-tige,das Wattestäbchen
le lave-linge,die Waschmaschine
le fer à repasser,das Bügeleisen
le sèche-linge,der Trockner
nettoyer,putzen
la vis,die Schraube
le clou,der Nagel
le marteau,der Hammer
la scie,die Säge
le niveau à eau,die Wasserwaage
le balai,der Besen
l’ampoule,die Glühbirne
la prise multiple,die Mehrfachsteckdose
la haie,die Hecke
l’abri de jardin,das Gartenhaus
la fourche,die Mistgabel
