fr,de
la saucisse,die Wurst
le saucisson,die Salami
la cuisse de poulet,die Hähnchenkeule
le thon,der Thunfisch
la crevette,die Garnele
le homard,der Hummer
le crabe,der Krebs
volaille,Geflügel
le fromage blanc,der Quark
le petit-lait,die Buttermilch
le fromage râpé,der geriebene Käse
le chou-rave,der Kohlrabi
la feuille,das Blatt (Pflanze)
la patate douce,die Süßkartoffel
la pomme de terre,die Kartoffel
la carotte,die Möhre
le poireau,der Lauch
l’ail,der Knoblauch
amer,bitter
cru,roh
fort,scharf
le haricot,die Bohne
le raisin,die Weintraube
la cerise,die Kirsche
la prune,die Pflaume
la pêche,der Pfirsich
la poire,die Birne
l’abricot,die Aprikose
la mangue,die Mango
la noix de coco,die Kokosnuss
juteux,saftig
la noisette,die Haselnuss
la cacahuète,die Erdnuss
le raisin sec,die Rosine
le poivre,der Pfeffer
le riz,der Reis
l’avoine,der Hafer
le croissant,das Croissant
la baguette,das Baguette
la tranche,die Scheibe (Brot)
le pot,das Glas (Marmelade)
le beignet,der Berliner (Essen)
la pâte d’amandes,das Marzipan
la crêpe épaisse,der Pfannkuchen
la gaufrette,die Eiswaffel
la boule de glace,die Kugel Eis
l’eau du robinet,das Leitungswasser
la théière,die Teekanne
commander,(Essen) bestellen
la fourchette,die Gabel
l’assiette,der Teller
le bol,die Schüssel
le pourboire,das Trinkgeld
"L’addition, s’il vous plaît.","Die Rechnung, bitte."
la graisse,das Fett
les nouilles,die Nudeln
