fr,de
le terrain,das Spielfeld
le but,das Tor (Fußball)
le carton jaune,die gelbe Karte
tirer,schießen (Ball)
le maillot,das Trikot
faire une manchette,baggern (Volleyball)
faire une touche,pritschen (Volleyball)
le vainqueur,der Sieger
le perdant,der Verlierer
le champion du monde,der Weltmeister
la raquette,der Schläger (Tischtennis/Badminton)
le filet,das Netz (Tischtennis)
le trou,das Loch
la haie,die Hürde
nager,schwimmer
le pongeoir,das Sprungbrett
la voile,das Segel(n)
la bouée de sauvetage,der Rettungsring
la rame,das Ruder
la vague,die Welle
le saut à ski,das Skispringen
faire du patin à glace,Schlittschuh laufen
le ballon de gymnastique,der Fitnessball
le tapis de course,das Laufband
