fr,de
premiers soins,Erste Hilfe
le secouriste,der Sanitäter
le bouche-à-bouche,die Mund-zu-Mund-Beatmung
le pouls,der Puls
inconscient,bewusstlos
le bandage,der Verband
le choc,der Schock
le don de sang,die Blutspende
le sparadrap,das Pflaster
le talkie-walkie,das Handfunkgerät
le pistolet,die Pistole
le policier,der Polizist
le témoin,der Zeuge
l’enquête,die Ermittlung
la prison,das Gefängnis
le vol à la tire,der Taschendiebstahl
l’enlèvement,die Entführung
le meurtre,der Mord
l’extincteur,der Feuerlöscher
la hache,die Axt
la corde,das Seil
l’avalanche,die Lawine
la tempête,der Sturm
Au secours !,Hilfe!
