fr,de
le cœur de lion,der Leonhard
le ruisseau d’ouate,der Wattenbach
le sport,der Sport
l’entraîneur (m),der Trainer
le campionnat de frisbee,die Frisbeemeisterschaft
le jeu de frisbee off-road,das Offroadfrisbeespielen
le jeu de golf frisbique,das Discgolfspielen
jouer au frisbee dans le Parc de l’Ouest,Frisbee spielen im Westpark
le frisbee,die Frisbee
le petit chapeau,das Hütchen
le forêt,der Wald
le transport public,der ÖPNV
la place de Bend,der Bendplatz
l’explosion (f),die Explosion
le passager de la section principale,der Main-Section-Fahrgast
le passager hors section principale,der Nicht-Main-Section-Fahrgast
l’arrêt de bus (m),die Bushaltestelle
l’université (f),die Universität
attendre le bus,auf den Bus warten
la productivité,die Produktivität
le groupe WhatsApp productif,die produktive WhatsApp-Gruppe
la zone fumeurs,der Raucherbereich
la voie de grue,die Kranbahn
la nature,die Natur
le bureau K7,das K7-Büro
le groupe d’étude productif,die produktive Lerngruppe
le balancier,der Balancierbalken
le parking à vélos inutilisé,der ungenutzte Fahrradparkplatz
la synchronisation musicale,die Musiksynchronisation
le lien,der Link
le message,die Nachricht
les crochets (m),die Haken
le schéma de couleurs,das Farbschema
le tableau,die Tabelle
le tableau de tableaux,die Tabellentabelle
le front-end,das Frontend
l’alerte de sécurité (f),die Sicherheitswarnung
le pirate informatique,der Hacker
la pirete informetique,die Hecker
la nourriture,die Nahrung
l’équerre-rapporteur (f),das Geodreieck
les stylos de couleur,die bunten Stifte
le score nutri,der Nutri-Score
les vermicelles en chocolat,die Schokostreusel
l'alternative saine (f),die gesunde Alternative
la tarte à la mandarine et à la crème,der Mandarinen-Schmand-Kuchen
les carottes de poivron (f),die Paprikamöhren
la purée de pommes de terre avec sauce hollandaise et petits pois,der Kartoffelpüree mit Hollandaisesauce und Erbsen
le repas du bachelor,das Bacheloressen
le restaurant Rapidoz,das Rapidozrestaurant
les animaux (m),die Tiere
la fille,das Mädchen
le cheval,das Pferd
la boîte électrique,der Stromkasten
la fille sur le cheval,das Mädchen auf dem Pferd
le cheval sur la boîte électrique,das Pferd auf dem Stromkasten
le documentaire de WDR sur les refuges pour animaux,die WDR-Tierheimdoku
le chien,der Hund
l’effort de traction (m),die Zugspannung
ainsi oreilles,so Ohren
le cadre photo cher,der teure Bilderrahmen
le chat,die Katze
le chantier,die Baustelle
la construction massive,der Massivbau
la construction métallique,der Stahlbau
le gaspillage de matériaux,die Materialverschwendung
la grue,der Kran
le coffrage,die Verschalung
le chantier du Pont de la Rue de la Tour,die Turmstraßenbrückenbaustelle
le gazon,der Rasen
la bière,das Bier
les chaussures de danse,die Tanzschuhe
le spectacle,die Schau
le gobelet de l’excavateur,der Baggerbecher
la musique,die Musik
le tatouage mural,das Wandtattoo
la musique d'ambiance sympathique,die ganz nette Hintergrundmusik
la vache,die Kuh
le lustre,der Kronleuchter
le piano à queue,der Flügel
la peinture,das Gemälde
la salle de musique,das Musikzimmer
la danse,der Tanz
la luciole,das Glühwürmchen
le panier à vélo,der Fahrradkorb
le public,das Publikum
la piste de danse,die Tanzfläche
le parking de la danse,der Tanzparkplatz
la joie anticipée,die Vorfreude
le bal de danse,der Tanzball
la robe de bal rouge,das rote Ballkleid
la chemise blanche,das weiße Hemd
les étoiles de la danse,die Dancing-Stars
la position de danse fermée,die geschlossene Tanzhaltung
