fr,de
un repas,eine Mahlzeit
cuisiner,kochen
une usine,eine Fabrik
un médecin,ein Arzt
un collègue,ein Kollege
une veste,eine Jacke
la radio,das Radio
cher,teuer
prendre son petit déjeuner,frühstücken
C’est combien ?,Wie teuer ist es?
Quel âge as-tu ?,Wie alt bist du?
près,in der Nähe
marié,verheiratet
un placard,ein Wandschrank
marcher,gehen (walk)
le yaourt,der Joghurt
la photo,das Foto
le mois,der Monat
tous les jours,jeden Tag
la réunion,das Meeting
faire de la plongée,tauchen gehen
un problème,ein Problem
la date,das Datum
un examen,eine Klausur
