fr,de
le théâtre,das Theater
le rideau,der Vorhang
en plein air,Open-Air-
les applaudissements,der Applaus
le metteur en scène,der Regisseur
le violon,die Geige
la partition,die Noten (Musik)
le bis,die Zugabe
le disque noir,die Schallplatte
le battement,der Beat
le casque,der Kopfhörer
le chœur,der Chor
le crayon de couleur,der Buntstift
la craie,die Kreide
le pinceau,der Pinsel
la colle,der Klebstoff
la toile,die Leinwand
le bleu foncé,das Dunkelblau
le jaune clair,das Hellgelb
les ciseaux,die Schere
le rang,die Sitzreihe (im Kino)
le desin animé,der Zeichentrickfilm
pour tot public,jugendfrei
flou,unscharf (Foto)
la carte de jeu,die Spielkarte
le carreau,das Karo
le pique,das Pik
le cœur,das Herz
le trèfle,das Kreuz (Kartenspiel)
le valet,der Bube (Kartenspiel)
battre les cartes,die Karten mischen
le coup,der Zug (Spiel)
le dé,der Würfel (Spiel)
les échecs,das Schach
C’est à qui ?,Wer ist dran? (Spiel)
la malchance,das Pech
le coucher de soleil,der Sonnenuntergang
la chaise longue,der Liegestuhl
la serviette de plage,das Strandtuch
le seau,der Eimer
la pelle,die Kinderschaufel
l’appontement,der Steg
la crème solaire,die Sonnencreme
la plage de galets,der Steinstrand
prendre un bain de soleil,sich sonnen
le bar,die Bar
schnorcheln,faire de la plongée avec un tuba
le coup de soleil,der Sonnenbrand
la marée basse/haute,die Ebbe/Flut
le hamac,die Hängematte
le matelas pneumatique,die Luftmatratze
le sac de couchage,der Schlafsack
la lampe de poche,die Taschenlampe
la fermeture à glissière
