fr,de
l’épouse,die Ehefrau
le mari,der Ehemann
le neveu,der Neffe
la nièce,die Nichte
le parent,der Verwandte
le couple,das Ehepaar/Paar
les jumeaux,die Zwillinge
s’embrasser,sich umarmen
embrasser qn.,jm. einen Kuss geben
téléphoner à qn.,jn. anrufen
le mariage,die Hochzeit
la Saint-Sylvestre,das Silvester
tomber amoureux,sich verlieben
déménager,umziehen
partir en retraite,in Rente gehen
la lèvre,die Lippe
le menton,das Kinn
la dent,der Zahn
la joue,die Wange
la queue de cheval,der Pferdeschwanz
la tresse,der Zopf
frisé,lockig
laid,hässlich
fiers,stolz
envieux,neidisch
la pantoufle,der Hausschuh
le peignoir (de bain),der Bademantel
le pull à capuche,der Kapuzenpullover
étroit,eng
large,weit
le tee-shirt,das T-Shirt
à la mode,modisch
la montre,die Armbanduhr
la bague,der Ring (Schmuck)
le collier,die Halskette
la boucle d’oreille,der Ohrring
l’écharpe,der Schal
le bonnet,die Mütze
le gant,der Handschuh
la valise,der Koffer
la serviette,die Aktentasche
la ceinture,der Gürtel
le lacet,der Schnürsenkel
la pâte dentifrice,die Zahnpasta
le peigne,der Kamm
le sèche-cheveux,der Föhn
le rouge à lèvres,der Lippenstift
