fr,de
lorsque,als
la forêt vierge,der Urwald
vivre qc.,etw. erleben
avaler,hinunterschlucken/verschlingen
la fauve,das Raubtier
la proie,die Beute
mâcher,kauen
la digestion,die Verdauung
à mon tour,meinerseits
le chef-d’œuvre,das Meisterwerk
plutôt,eher/vielmehr
reconnaître qc. de qc.,(zwei Dinge) auseinander halten können
être égaré,sich verlaufen/verirrt haben
pas trop,nicht allzu sehr
à peine,kaum
au lever du jour,bei Tagesanbruch
le mouton,das Schaf
se frotter les yeux,sich die Augen reiben
gravement,ernst
ravissant,entzückend
une apparation,eine Erscheinung
égaré,verblüfft/sehr erstaunt
le bélier,der Widder
la corne,das Horn (eines Tieres)
le précédent,der Vorige
une faute de patience,ein Mangel an Geduld
lancer,werfen
la caisse,die Kiste
s’illuminer,sich aufhellen (Gesicht)
le juge,der Richter
par hasard,zufällig
apercevoir qc.,etw. erblicken
modestement,bescheiden
hocher la tête,den Kopf schütteln
se plonger dans qc.,sich in etw. vertiefen
en dehors de,außer/abgesehen von
avoir du mal à faire qc.,"Schwierigkeiten haben, etw. zu tun"
la colombe,die Taube
la preuve,der Beweis
hausser les épaules,mit den Schultern zucken
avoir l’air vrai,echt aussehen/wirken
à la légère,oberflächlich
éprouver qc.,etw. fühlen/empfinden
le chagrin,der Kummer
ressemblant,ähnlich
