fr,de
être,sein
avoir,haben
faire,machen
dire,sagen
donner,geben
aller,gehen
vouloir,wollen
savoir,wissen
voir,sehen
demander,fragen
trouver,finden
venir,kommen
comprendre,verstehen
tenir,halten
porter,tragen
parler,reden
montrer,zeigen
penser,denken
suivre,folgen
croire,glauben
commencer,beginnen
compter,zählen
entendre,hören
attendre,warten
appeler,kontaktieren
permettre,erlauben
partir,verlassen
décider,entscheiden
arriver,ankommen
répondre,antworten
vivre,leben
accepter,akzeptieren
jouer,spielen
choisir,auswählen
toucher,anfassen
perdre,verlieren
ouvrir,öffnen
gagner,gewinnen
exister,existieren
lire,lesen
travailler,arbeiten
essayer,probieren
risquer,riskieren
apprendre,lernen
créer,bauen
entrer,eintreten
atteindre,erreichen
produire,produzieren
préparer,vorbereiten
écrire,schreiben
