lb,de
kommen,kommen
léieren,lernen
Franséisch,Französisch
Lëtzebuerger (en/den)/Lëtzebuergerin (eng/d’),Luxemburger (ein/der)/Luxemburgerin (eine/die)
tipptopp,sehr gut
Lëtzebuergesch,Luxemburgisch
hunn,haben
Englesch,Englisch
schwätzen,sprechen
Nationalitéit (eng/d’),Nationalität (eine/die)
e bëssen,ein bisschen
Gudde Mëtteg,Guten Tag (mittags)
elo,jetzt/nun
Däitsch,Deutsch
Sprooch (eng/d’),Sprache (eine/die)
Italieener (en/den)/Italieenerin (eng/d’),Italiener (ein/der)/Italienerin (eine/die)
sinn,sein
Italieenesch,Italienisch
Spuenesch,Spanisch
Chineesesch,Chinesisch
