nl,de
de ambulancebroeder,der Rettungssanitäter
de brancard,die Bahre
de arrestatie,die Festnahme
het letsel,die Körperverletzung
de bijl,das Beil
de brandkraan,der Hydrant
het krediet,das Darlehen
het rentepercentage,der Zinssatz
storten,(Geld) einzahlen
de overmaking,die Überweisung
de betaalrekening,das Girokonto
de kaartsleuf,der Kartenschlitz
de valuta,die Währung
het aandeel,die Aktie
breekbaar,zerbrechlich
de aangetekende Brief,das Einschreiben
het antwoordapparaat,der Anrufbeantworter
de hoorn,der Hörer
in gesprek,besetzt (Telefon)
het netnummer,die Vorwahl
het dienblad,das Tablett
