nl,de
zelfstandig naamwoord,Substantiv
bijvoegelijk naamwoord,Adjektiv
bijwoord,Adverb
lidwoord,Artikel
voegwoord,Konjunktion
voornaamwoord,Pronomen
aanwijzend voornaamwoord,Demonstrativpronomen
betrekkelijk voornaamwoord,Relativpronomen
bezittelijk voornaamwoord,Possessivpronomen
persoonlijk voornaamwoord,Personalpronomen
wederkerend voornaamwoord,Reflexivpronomen
wederkerig voornaamwoord,Reziprokpronomen (gegenseitig)
voorzetsel,Präposition
werkwoord,Verb
vervoegd,gebeugt
onvoltooid tegenwoordige tijd,Präsens
voltooid tegenwoordige tijd,Perfekt
onvoltooid verleden tijd,Präteritum
voltooid verleden tijd,Plusquamperfekt
onvoltooid tegenwoordige toekomende tijd,Futur 1
voltooid tegenwoordige toekomende tijd,Futur 2
aantonende wijs,Indikativ
onbepaalde wijs,Infinitiv
gebiedende wijs,Imperativ
aanvoegende wijs,Konjunktiv
stellende trap,Positiv
vergrotende trap,Komparativ
overtreffende trap,Superlativ
