nl,de
de dakgoot,die Dachrinne
de dakpan,die Dachpfanne
de trapleuning,das Treppengeländer
de stop/de zekering,die Sicherung (Elektrizität)
het gelijkstroom,der Gleichstrom
de schakelaar,der Schalter
de elektriciteitsmeter,der Stromzähler
de stoppenkast,der Stromkasten
de wisselstroom,der Wechselstroom
de lootgieter,der Installateur
de hendel,der Hebel (Wasserhahn)
de pakking,die Dichtung
het gft-afval,der Bio-Abfall
het rolgordijn,das Rollo
het tapijt,der Teppich
de fauteuil,der Sessel
het servies,das Geschirr
de zitting,die Sitzfläche (eines Stuhls)
de poot,das Stuhlbein
het tafelkleed,die Tischdecke
opdienen,servieren
het eierdopje,der Eierbecher
de keukenplank,das Küchenregal
het werkblad,die Arbeitsfläche
de afzuigkap,die Dunstabzugshaube
de kookplaat,das Kochfeld
de broodrooster,der Toaster
