nl,de
het servies,das Geschirr
de zitting,die Sitzfläche (eines Stuhls)
de poot,das Stuhlbein
het tafelkleed,die Tischdecke
opdienen,servieren
het eierdopje,der Eierbecher
de keukenplank,das Küchenregal
het werkblad,die Arbeitsfläche
de afzuigkap,die Dunstabzugshaube
de kookplaat,das Kochfeld
de broodrooster,der Toaster
het hakmes,das Hackmesser
het schilmesje,der Schäler
de spies,der Spieß
de rasp,die Reibe
de vijzel,der Mörser
de bakspaan,der Pfannenwender
de pannenlikker,der Teigschaber
de zeef,das Sieb
de steelpan,der Kochtopf
de braadpan,die Pfanne
de maatbeker,der Messbecher
de deegroller,das Nudelholz
het bakblik,das Backblech
de ovenwant,der Topfhandschuh
