nl,de
het spek,der Speck
gepekeld,gepökelt
het gehakt,das Hackfleisch
de filet,das Filet
de bout,die Keule
de rog,der Rochen
de zalm,der Lachs
de kreeft,der Hummer
de graat,die Gräte
ontveld,enthäutet
de schub,die Schuppe (eines Fisches)
de tuinboon,die dicke Bohne
de spekboon,die Stangenbohne
de maïs,der Mais
de peul,die Schote
de venkel,der Fenchel
de witlof,der Chicorée
streekproducten,regionale Produkte
de spruitjes,der Rosenkohl
de boerenkool,der Grünkohl
de koolrabi,der Kohlrabi
de bosui,die Frühlingszwiebel
het partje,das Stückchen (einer Mandarine)
de abrikoos,die Aprikose
de pruim,die Pflaume
de braam,die Brombeere
de aalbes,die Johannisbeere
de vossenbes,die Preiselbeere
de bosbes,die Heidelbeere
de kruisbes,die Stachelbeere
de pit,der Kern (einer Frucht)
knapperig,knackig
rot,faul (Obst)
de krent,die Korinthe
de kokosnoot,die Kokosnuss
de peperkorrel,das Pfefferkorn
de kaneel,der Zimt
de salie,der Salbei
de kurk,der Korken
de pot,das (Marmeladen-)glas
het melkpak,die Milchpackung
de margarine,die Margarine
het eigeel/eiwit,das Eigelb/Eiweiß
de baguette/het stokbrood,das Baguette
het paneermeel,das Paniermehl
laten rijzen,gehen lassen
glazuren,glasieren
het glazuur,die Glasur
de rijstebrij,der Milchreis
de azijn,der Essig
de toonbank,die Theke
het theezakje,der Teebeutel
de yoghurt,der/das Joghurt
