nl,de
het scheenbeen,das Schienbein
de navel,der Bauchnabel
de pols,das Handgelenk
de hiel,die Ferse
de kuit,die Wade
de wenkbrauw,die Augenbraue
de moedervlek,das Muttermal
het voorhoofd,die Stirn
de rimpel,die Falte
de zomersproet,die Sommersprosse
het kuiltje,das Grübchen
de knokkel,der Knöchel
de bal van de voet,der Ballen
het gewricht,das Gelenk
de pees,die Sehne
het staartbeen,das Steißbein
de schildklier,die Schilddrüse
de luchtpijp,die Luftröhre
het verhemelte,der Gaumen
het strottenhoofd,der Kehlkopf
de stembanden,die Stimmbänder
de slokdarm,die Speiseröhre
het middenrif,das Zwerchfell
de spijsvertering,das Verdauungssystem
geschokt,schockiert
gapen,gähnen
flauwvallen,in Ohnmacht fallen
