nl,de
het theater,das Theater
het decor,das Bühnenbild
de orkestbak,der Orchestergraben
de toegift,die Zugabe
het doek,die Leinwand
het strijkinstrument,das Streichinstrument
de harp,die Harfe
de contrabas,der Kontrabass
de viool,die Geige
de altviool,die Bratsche
de cello,das Cello
de bladmuziek,das Notenblatt
het kruis,das Kreuz (Musiknoten)
de mol,das B (Musiknoten)
de maatstreep,der Taktstrich
het herstellingsteken,das Auflösungszeichen (Musiknoten)
het blaasinstrument,das Blasinstrument
de hobo,die Oboe
de klarinet,die Klarinette
de pauk,die Pauke
de gong,der Gong
het bekken,das Becken
de tamboerijn,das Tamburin
de trompet,die Trompete
de trombone,die Posaune
de hoorn,das Horn
de tuba,die Tuba
