nl,de
de doelman,der Torwart
de overtreding,das Foul
de strafschop,der Elfmeter
de hoekschop,der Eckstoß
het buitenspel,das Abseits
de hockeystick,der Hockeyschläger
het speelveld,das Spielfeld
richten,zielen
het honkbal,der Baseball
het polsstokhoogspringen,der Stabhochsprung
het discuswerpen,das Diskuswerfen
het kogelstoten,das Kugelstoßen
het speerwerpen,das Speerwerfen
de estafette,der Staffellauf
hoogspringen,Hochsprung
verspringen,Weitsprung
hordenlopen,Hürdenlauf
de evenwichtsbalk,der Schwebebalken
het worstelen,das Ringen
de zwarte band,der schwarze Gürtel
het zwembandje,der Schwimmflügel
de springplank,das Sprungbrett
de schoolslag/de borstslag,das Brustschwimmen
de borstcrawl,das Kraulen
het zwemvlies,die Schwimmflosse
de badmeester,der Bademeister
de reddingsboei,der Rettungsring
het zwemvest,die Schwimmweste
de surfplank,das Surfbrett
de draf,der Trab
de stoeltjeslift,der Sessellift
de parachute,der Fallschirm
het schermen,das Fechten
rekken,dehnen
de ligsteun,die Liegestütz
de halter,die Hantel
het touwtjesspringen,das Seilspringen
