nl,de
het schort,die Schürze
de tuinbroek,die Latzhose
de capuchon,die Kapuze
de rubberlaarzen,die Gummistiefel
de riem,der Gürtel
het gilet,die Weste
de V-hals,der V-Ausschnitt
de ronde hals,der runde Ausschnitt
het vlinderstrike/de vlinderdas,die Fliege
de oorbel,der Ohrring
de sluiting,der Verschluss (einer Kette/Handtasche)
de armband,das Armbband
de schakel,das Glied (eines Armbands)
de zool,die Sohle
de hak,der Absatz (eines Schuhs)
de vlecht/de staart,der Zopf
de roos,die Schuppen (im Haar)
de nagelvijl,die Nagelfeile
