nl,de
de praatpaal,die Notrufsäule
het stopverbod,das Halteverbot
wegslepen,abschleppen
achteruit rijden,rückwärts fahren
de vangrail,die Leitplanke
de motorkap,die Motorhaube
de kofferbak,der Kofferraum
het knipperlicht/de clignoteur,der Blinker
de gordel,der Gurt
de pomp,die Zapfsäule
de deurgreep,der Türgriff
de claxon/de toeter,die Hupe
het toerental,die Drehzahl
de uitlaat,der Auspuff
de krik,der Wagenheber
de sleepwagen,der Abschleppwagen
de bandenspanning,der Reifendruck
de leegloop,der Leerlauf
het spatbord,das Schutzblech
het zadel,der Sattel
de zadelpen,die Sattelstütze
het fietsframe,der Fahrradrahmen
de velg,die Felge
de spaak,die Speiche
de remhendel,der Bremshebel
de binnenband,der Fahrradschlauch
de steunwieltjes,die Stützräder
de fietsstandaard,der Fahrradständer
