nl,de
de stadrondrit,die Stadtrundfahrt
de zonnewijzer/de zonneklok,die Sonnenuhr
de zandbak,der Sandkasten
het klimrek,das Klettergerüst
het kinderbad,das Planschbecken
de wip,die Wippe
de ligstoel,der Liegestuhl
de zwemband,der Schwimmreifen
de schelp,die Muschel(schale)
de isomat,die Isomatte
de platenspeler,der Plattenspieler
het volume,die Lautstärke
doorspoelen,vorspulen
terugspoelen,zurückspulen
de ontspanknop/de ontspanner,der Auslöser (Foto)
de flits,der Blitz (Foto)
staand,im Hochformat
liggend,im Querformat
de pion,der Bauer (Schach)
ruiten,Karo
schoppen,Pik
harten,Herz (Kartenspiel)
klaveren,Kreuz (Kartenspiel)
schudden,mischen (Karten)
delen,geben (Karten)
de boer,der Bube (Kartenspiel)
de vrouw,die Dame (Kartenspiel)
de heer,der König (Kartenspiel)
de aas,das Ass (Kartenspiel)
de beurt,der Zug (Spiel)
het penseel,der Pinsel
kleien,töpfern
de klei,der Ton (Material)
de papier-maché,das Pappmaché
het garen,das Garn
haken,häkeln
weven,weben
de breipen/de breinaald,die Stricknadel
de zijde,die Seide
