nl,de
Mercurius,Merkur
het zonnestelsel,das Sonnensystem
de nieuwe maan,der Neumond
de eclips/de zonsverduistering,die Sonnenfinsternis
het continent,der Kontinent
de poolcirkel,der Polarkreis
de lengtegraad,der Längengrad
de breedtegraag,der Breitengrad
de vulkaan,der Vulkan
de oever,das Ufer
de kloof,die Schlucht
de geiser,der Geysir
de monding,die Mündung
het lei,der Schiefer
het marmer,der Marmor
platina,Platin
zwavel,Schwefel
de tak,der Ast
de boomschors,die Baumrinde
de lariks,die Lärche (Baum)
de beuk,die Buche
de berk,die Birke
de klaver,das Klee
de steeg,die Gasse
