nl,de
de nietmachine,der Tacker
het stempel,der Stempel
het elastiekje,das Gummiband
de paperclip,die Büroklammer
de punaise,die Reißzwecke
het prikbord,die Pinnwand
de notulen,das Protokoll
de menubalk,die Menüleiste
de bijlage,der Anhang
het mengpaneel,das Mischpult
de uitspraak,die Aussage
het arrestatiebevel,der Haftbefehl
de borgsom,die Kaution
de wijngaard,der Weinberg
het koolzaad,der Raps
de vogelverschrikker,die Vogelscheuche
de big,das Ferkel
het veulen,das Fohlen
de heftruck,der Gabelstapler
de draagbalk,der Träger (Hausbau)
de betonmolen,die Betonmischmaschine
de mortel,der Mörtel
de troffel,die Kelle
de luchthamer,der Presslufthammer
de dragline/de graafmachine,der Bagger
de metselaar,der Maurer
