sv,de
att ramla,hinfallen
gullig,niedlich
ändå,trotzdem
en helg,ein Wochenende
att bjuda ngn.,jdn. einladen
ett hål,ein Loch
Käften!,Schnauze!
Jag skämtar bara.,Ich mache nur Witze.
en sylt,eine Konfitüre
att steka,braten
att smaka bränd,verbrannt schmecken
att skydda,beschützen
en tändare,ein Feuerzeug
ett hjul,ein Rad
jobbig,anstrengend
Ingen fara!,Macht nichts!
sjuk,krank
snygg,hübsch
en barnvakt,ein Babysitter
väl,wohl/gewiss
ett samvete,ein Gewissen
avis/avundsjuk,neidisch
nyss,gerade/eben
ett samtal,ein Anruf
Lugna dig!,Beruhig dich!
pinsam,peinlich
fattig,arm
Skit i det!,Scheiß drauf!
att palla,aushalten
ärlig,ehrlich
Flytta på dig!,Geh weg!
annorlunda,anders
