sv,de
knyter ihop satser/meningar,Sätze verbinden
en huvudsats,Hauptsatz
en bisats,Nebensatz
högt,laut
ner,nach unten
att gå bort,sterben
ett dagisbarn,ein Kindergartenkind
en loppis,ein Flohmarkt
att tipsa ngn. (om. ngt.),jm. einen Tipp geben (bezüglich etw.)
att lära ut,lehren/unterrichten
att äga rum,stattfinden
att lägga,legen
en stund,eine Weile
att städa,putzen
ett prov,eine Prüfung/Klausur
inte heller,auch nicht
mellan jobb,arbeitssuchend
även,sogar/auch (nicht också)
en värdering,eine Wertung
en bonde,ein Bauer
en lantbrukare,ein Landwirt
Prosit!,Gesundheit!
att se fram emot,sich freuen auf
ett bröllup,eine Hochzeit
att beteckna,bezeichnen
jävla,verdammt
en flod,ein Fluss
ett hav,ein Meer
bland annat (bl. a.),unter anderem (u. a.)
en feber,ein Fieber
ett facit,eine Lösung
en motsats,ein Gegenteil
en stuga,ein Ferienhaus
en mil,eine Skandinavische Meile (10 km)
genast,sofort
att hinna med bussen,den Bus erreichen
nog,wohl (vermutlich)
att vila,entspannen
innan,vor (zeitlich)
medan,während
trots att,obwohl (faktisch)
även om,obwohl (hypothetisch)
genom att,"dadurch, dass"
ifall,falls
hjälpsam,hilfreich
