sv,de
spänd,gespannt/angespannt
att skylla på ngn.,jdn. beschuldigen
ett proffs,ein Profi
en tjänst,ein Gefallen
att dra/att sticka,abhauen
en läpp,eine Lippe
ett bröst,eine Brust
att flippa ur,ausflippen
i förväg,im Voraus
att våga ngt.,sich etw. trauen
enda,einzig
en brud,eine Braut
en kropp,ein Körper
sant,ungelogen
sånt,sowas
svartsjuk,eifersüchtig
farlig,gefährlich
bortrest,verreist
att hämnas ngn./ngt.,jdn./etw. rächen
att bry sig om ngt.,sich um etw. kümmern
ett ben,ein Knochen
ful,hässlich
en langare,ein Dealer
att kalla,nennen (bezeichnen)
att strula med ngn.,mit jdm. herumknutschen
att få reda på ngt.,etw. herausfinden/etw. erfahren
att putta,schubsen
att skoja/att skämta,scherzen
låg,niedrig
