sv,de
att lita på ngn./ngt.,jdm./etw. vertrauen
att lösa sig,sich erledigen (Problem)
att minnas,sich erinnern
ditåt,da lang/dorthin
en hjärna,ein Gehirn
att skada ngn./ngt.,jdm./etw. schaden
Varsågod!,Bitte schön!
att anmäla,etw. anzeigen (Polizei)
att avbryta ngn./ngt.,jdn./etw. unterbrechen
en grabb,ein Bursche
en förfrågan,eine Anfrage
ett medelvärde,ein Mittelwert
jag med,ich auch
Jag håller med.,Ich bin einverstanden.
mätt,satt
(en) tur,(ein) Glück
att slippa ngn./ngt.,jdn./etw. loswerden
att innebära,beinhalten/bedeuten
orolig,besorgt
ett hallon,eine Himbeere
att skrämma ngn.,jdn. einschüchtern
att hämta,holen
att få tag i ngn.,jdn. erreichen
att ha bråttom,es eilig haben
för min skull,meinetwegen
upprörd,empört
att gråta,weinen
knappt,kaum
Lycka till!,Viel Glück!
Detsamma!,Gleichfalls!
ett mål,ein Ziel
ngn. skulle,jd. würde
Jag skulle vilja …,Ich möchte (gerne) …
nyligen,neulich
ett inbrott,ein Einbruch
en otur,ein Unglück/Pech
att släpa,schuften
stackars,arm (Person)
att vara rädd för ngt.,Angst vor etw. haben
hemsk,schrecklich
att hota ngn.,jdn. bedrohen
en brottsplats,ein Tatort
ett rån,ein Raub
att skaffa,beschaffen
ett brott,ein Verbrechen
Tjena!,Grüß dich!
läskig,gruselig
nykter,nüchtern
full,betrunken
nöjd,zufrieden
