sv,de
att ta studenten,Abitur machen
en tråkmåns,eine Spaßbremse
en läsk,eine Limonade
att blunda,die Augen schließen
en dammsugare,ein Staubsauger
ett ogräs,ein Unkraut
opålitlig,unzuverlässig
Lägg av!,Hör auf!
att låsa/att avsluta,abschließen/versperren
ett tak,ein Dach
att hänga med,mitkommen
att vänja,gewöhnen
att fuska,schummeln
att jämföra,vergleichen
antligen … eller,entweder … oder
en ångest,eine Angst
att gola ngn.,jdn. verpfeifen
att kika,gucken
en fästmö,eine Verlobte
en fästmän,ein Verlobter
att kräkas,kotzen
att banka till ngn.,jdn. verprügeln
att ta reda på ngt.,etw. herausfinden
