sv,de
en vardagsmat,eine Alltagskost
en korv,eine Wurst
en maträtt,ein Gericht
en potatis,eine Kartoffel
ett potatismos,ein Kartoffelpüree
en stekt potatis,Bratkartorfeln
ett smör,eine Butter
en råg,ein Roggen
ett vatten,ein Wasser
ett mjöl,ein Mehl
ett salt,das Salz
en tunna,ein Fass
ett bröd,ein Brot
ett skafferi,eine Speisekammer
ett kött,ein Fleisch
ett nöt,ein Rind
en smak,ein Geschmack
en sill,ein Hering
inlagd,eingelegt
en vinäger/en ättika,ein Essig
ett socker,ein Zucker
rökt,geräuchert
en surströmming,ein Surströmming
fermenterad,fermentiert
en lukt,ein Geruch
en lax,ein Lachs
vild,wild (Tier)
grillad,gegrillt
stekt,gebraten
ett torg,ein Markt
en mataffär,ein Lebensmittelgeschäft
att plocka,pflücken
en tårta,eine Torte
en frukost,ein Frühstück
ett vin,ein Wein
en middag,ein Abendessen
en lök,eine Zwiebel
en jordgubbe,eine Erdbeere
en gurka,eine Gurke
en kopp,eine Tasse
ett ägg,ein Ei
ett öl,ein Bier
en ost,ein Käse
en macka/en smörgås,ein Butterbrot
en kniv,ein Messer
en lunch,ein Mittagessen
en kyckling,ein Hähnchen (Essen)
ett kaffe,ein Kaffee
en restaurang,ein Restaurant
en choklad,eine Schokolade
en sked,ein Löffel
ett glas,ein Glas
en gaffel,eine Gabel
