sv,de
Vad fan …?,Was zum Teufel
grej {u},Ding
Helvete!,Verdammt!
att lova,versprechen
ihop,gemeinsam
nåt,etwas
att flyta tillsammans,(mit jdm.) zusammenziehen
blyg,schüchtern
att skolka,schwänzen (z. B. Schule)
att sticka,abhauen
töntig,bescheuert
hos,bei (Person)
huvud {n},Kopf
att tappa ngt.,etw. verlieren
vanlig,üblich
känsla {u},Gefühl
bottenvåning (BV) {u},Erdgeschoss (EG)
igår,gestern
det var längesen,das ist lange her
att vara ledig,frei haben
att vara kär i,verliebt sein in
tyst,still
att hångla,knutschen
att fatta ngt.,etw. verstehen
visst,natürlich
att skynda sig,sich beeilen
godis {n},Süßigkeiten
att gapa,den Mund aufsperren
att släppa av ngn.,jdn. aussteigen lassen
