sv,de
en trafik,ein Verkehr
en kollektivtrafik,ein ÖV
ett pendeltåg,eine S-Bahn
en biljett,eine Fahrkarte
ett trafikljus,eine Ampel
en buss,ein Bus
att åka med buss,mit dem Bus fahren
en spårväg,eine Straßenbahn
en spårvagn,ein Straßenbahnfahrzeug
en tunnelbana,eine U-Bahn
en linje,eine Linie
en tidtabell,ein Fahrplan
en väntetid,eine Wartezeit
en körtid,eine Fahrtzeit
punktlig,pünktlich
tåget är i tid,der Zug ist pünktlich
ett tåg,ein Zug
en kö,ein Stau
att stiga på,einsteigen
att stiga av,aussteigen
att avgå,abfahren
att att ankomma,ankommen
en avgång,eine Abfahrt
en ankomst,eine Ankunft
en avgångstid,eine Abfahrtszeit
att cykla,Fahrrad fahren
för sent,zu spät
för bitti,zu früh
försenad,verspätet
en försening,eine Verspätung
en passagerare,ein Passagier
en hållplats,eine Haltestelle
en station,ein Bahnhof
en lokförare,ein Lokführer
en konduktör,ein Schaffner
en busschaufför,ein Busfahrer
